19,38,42,18,7
26,8,6,12,31
47,33,9,36,10
45,47,3,22,39
6,13,9,18,47
36,29,19,3,2
10,48,47,15,2
41,49,3,45,4
48,49,39,7,9
37,49,9,14,1
46,39,31,21,14
49,11,47,18,38
40,9,47,2,8
29,37,31,3,12
49,36,40,21,4
37,7,11,21,40
33,34,12,18,45
13,42,41,10,21
49,45,1,21,29
16,40,13,39,43
37,49,40,29,2
35,2,47,39,4
4,42,16,5,21
42,46,31,38,39
28,6,13,38,35
17,34,21,42,11
35,37,16,20,32
41,39,32,18,7
34,15,20,35,1
18,45,11,40,0
11,26,1,36,46
25,3,1,45,34
42,8,4,21,15
10,1,32,33,7
16,18,8,38,2
16,6,45,22,19
3,43,14,10,33
17,39,40,11,33
46,21,48,32,6
4,48,10,49,28
8,47,41,40,14
5,28,46,48,4
11,3,39,7,35
3,0,32,10,26
40,2,3,19,45
32,45,35,17,29
7,14,33,22,46
8,28,43,41,3
37,39,8,32,22
29,8,35,22,9
14,3,19,40,10
3,12,46,14,41
29,18,35,42,22
39,9,13,8,49
41,12,35,33,43
25,11,49,4,29
20,12,15,0,31
36,18,2,11,33
10,18,26,20,47
11,48,32,43,29
8,46,43,26,0
35,43,13,31,37
47,42,17,35,33
45,9,1,7,48
34,35,22,49,15
28,22,0,7,13
20,25,46,5,29
13,21,1,19,4
21,22,1,49,4
38,36,11,25,7
35,34,20,42,15
17,16,19,35,7
13,14,38,26,4
9,33,35,34,19
44,23,7,19,18
27,23,12,44,37
16,15,39,23,28
44,34,30,9,23
25,24,44,30,27
17,30,24,35,44
0,32,44,27,23
45,30,27,44,18
5,24,13,49,30
30,14,24,23,27
27,2,30,44,18
24,27,25,48,30
24,8,34,5,23
23,33,1,30,15
7,13,19,3,34
24,19,23,30,44
30,43,27,16,44
39,24,7,17,23
24,27,21,49,44
27,41,30,24,38
44,25,10,7,30
32,4,27,24,23
8,1,49,30,9
23,25,27,24,44
23,27,44,30,24
27,26,30,23,49
27,3,44,30,34
30,44,27,28,24
28,23,14,27,44
28,24,41,48,34
33,23,2,27,35
24,30,46,35,22
46,30,23,10,38
44,10,27,13,23
34,17,14,22,35
32,23,44,19,46
44,24,23,43,27
24,44,46,30,4
44,12,9,41,27
27,37,4,8,23
27,44,23,42,30
47,44,40,24,30
44,28,46,30,4
23,30,19,27,16
27,11,46,44,24
24,19,27,44,14
30,18,24,20,27
27,44,24,0,23
23,30,27,44,24
33,40,5,30,27
20,23,27,11,44
44,23,32,30,2
0,30,35,41,46
27,30,24,23,2
32,10,27,12,9
27,23,44,45,40
2,27,24,30,37
30,27,23,42,44
23,27,30,42,39
33,24,44,8,30
8,31,24,30,44
30,23,16,9,36
8,43,11,30,24
27,30,31,23,15
14,27,48,24,49
24,34,36,44,2
16,36,1,30,24
23,11,38,24,15
44,8,30,24,38
27,42,44,39,23
23,30,24,47,14
15,16,31,37,27
24,7,23,30,44
30,27,31,23,44
10,27,46,23,30
23,27,30,32,47
27,23,24,8,40
12,17,24,30,44
17,23,27,2,30
16,44,30,18,24
5,23,43,24,46
30,26,23,36,48
10,30,31,43,23
44,27,48,25,37
18,38,23,21,27
30,16,48,24,29
7,44,32,30,24
39,6,30,19,25
27,39,24,30,3
14,30,27,45,44
27,9,37,14,19
30,44,6,27,29
49,26,42,23,0
24,30,23,33,32
20,28,47,38,23
23,39,27,2,44
24,10,23,38,49
27,24,44,39,41
24,0,23,30,44
24,32,6,25,30
44,12,42,30,24
28,23,47,30,44
27,30,37,44,6
30,42,44,24,14
30,49,14,39,44
30,23,27,24,9
44,30,17,27,26
27,44,8,12,30
24,44,27,49,2
21,44,7,45,30
2,24,23,48,25
37,44,24,30,28
9,27,44,30,23
24,44,48,23,8
27,28,24,44,43
26,24,30,20,27
27,24,3,5,44
44,31,23,1,40
31,24,40,49,16
27,36,43,30,46
44,27,23,46,6
7,19,28,24,21
27,23,10,0,1
44,19,30,24,47
44,31,8,23,48
42,29,22,24,48
