12,37,33,35,4
15,25,45,47,9
0,12,1,21,34
48,45,14,26,15
41,43,4,33,12
2,18,0,45,40
2,41,48,11,12
11,19,48,9,38
36,15,37,48,33
20,8,2,12,45
12,3,46,8,11
35,4,5,14,12
16,26,21,0,45
31,46,42,4,3
34,29,12,11,43
10,39,42,33,16
47,16,32,34,22
42,43,22,10,19
0,8,37,16,46
2,34,21,15,12
12,1,25,45,49
20,22,5,26,29
45,2,9,48,8
10,34,41,42,2
15,6,21,43,40
43,48,19,7,6
4,15,11,19,32
0,46,48,14,18
9,4,38,39,41
32,12,14,26,42
14,45,42,7,8
21,39,28,22,45
31,10,35,11,1
29,37,45,49,34
42,25,34,29,16
37,36,45,19,17
28,19,4,49,9
9,45,16,43,49
3,40,49,18,39
10,28,39,11,40
26,25,49,0,6
31,26,4,20,46
42,33,37,12,14
7,3,15,29,8
8,41,16,33,12
32,37,2,26,13
33,18,7,47,45
0,10,19,1,12
36,12,31,45,14
19,6,40,17,48
32,16,29,21,11
11,42,45,22,21
0,4,7,10,18
36,28,38,42,48
9,6,31,11,2
18,4,33,28,8
10,14,40,39,31
32,45,22,20,35
34,9,19,12,8
13,46,2,7,48
8,19,6,7,46
14,47,11,10,9
18,19,2,31,6
19,45,25,47,16
26,32,40,34,36
1,41,19,32,36
29,7,49,38,19
36,25,40,22,3
21,33,48,25,20
8,48,13,11,17
0,42,15,4,6
41,19,10,45,25
20,28,45,32,8
10,5,6,16,8
31,23,24,47,18
27,30,36,19,42
48,23,5,40,27
41,36,31,24,47
30,44,24,23,25
2,44,7,28,30
27,30,24,44,23
23,44,27,24,19
17,30,48,24,11
14,30,4,24,44
5,24,44,14,30
44,19,16,37,27
36,23,27,32,30
40,24,30,27,44
35,24,27,13,7
23,30,44,24,37
44,10,30,7,27
38,4,30,23,35
31,27,13,41,20
28,47,27,44,24
27,37,42,44,46
27,2,23,19,31
44,29,36,33,9
26,23,27,28,2
30,48,20,23,27
24,34,43,2,44
16,30,4,41,44
44,17,30,34,5
27,19,24,23,30
7,31,30,27,24
44,31,30,27,17
30,23,27,9,44
14,24,28,27,34
23,39,24,30,33
12,19,24,3,44
14,6,36,30,27
47,24,0,14,27
47,43,25,7,30
36,23,27,30,46
6,23,3,33,44
30,24,9,44,1
3,23,27,24,16
30,23,27,1,24
43,23,30,27,47
10,9,27,24,30
23,44,27,12,32
44,23,27,25,24
24,45,44,30,23
27,44,12,24,30
44,1,23,30,32
23,9,10,44,45
40,16,44,23,43
44,20,27,23,43
24,12,41,44,30
28,27,45,36,24
23,30,6,44,24
38,24,23,29,44
27,11,23,4,44
38,10,23,16,27
30,44,26,49,0
27,30,35,19,46
33,4,30,0,23
23,14,24,44,19
23,30,28,16,27
30,46,44,10,23
4,30,15,24,6
43,23,19,24,30
44,19,23,27,14
41,28,24,44,27
23,38,40,19,27
27,46,23,0,10
48,39,24,44,42
23,45,15,44,24
23,27,30,18,44
17,44,24,23,38
44,24,12,30,23
23,29,1,30,27
45,30,27,24,33
24,2,6,27,23
44,23,38,14,3
23,7,44,27,11
3,24,38,10,35
44,27,38,24,9
36,15,30,23,20
18,44,7,12,23
31,30,8,23,43
24,44,27,30,36
49,37,44,0,48
18,24,30,42,21
32,37,30,27,13
32,30,42,33,23
24,40,44,21,3
23,43,40,6,39
30,32,26,23,39
13,33,44,2,27
44,33,23,32,19
33,44,48,24,23
22,24,29,11,48
27,30,23,24,19
14,23,44,30,4
35,17,30,16,27
24,29,46,44,27
30,14,23,44,24
30,44,27,23,49
44,49,36,23,24
24,44,1,23,45
24,9,44,10,47
44,27,19,7,23
44,34,24,47,23
22,35,45,24,20
42,16,20,44,30
27,11,44,36,30
30,23,44,48,43
30,6,33,8,24
6,30,24,23,33
31,30,24,44,27
24,6,30,0,44
24,37,43,30,22
30,16,6,23,27
27,44,24,32,30
27,22,23,44,1
47,15,24,29,27
24,2,12,36,21
27,12,22,8,21
24,30,44,16,21
24,30,13,44,34
